# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
@	15m433ln4h1d@gmail.com	en-US	
@e	!5/\/\44!|_eMAIL	en-US	
@f	!5/\/\44!|_fB1.1	en-US	
01688	01688990503	en-US	
0171	01718533411 01822660418	en-US	
0185	01850105500	en-US	
019	01995845496	en-US	
0191	01910791227	en-US	
10	10 ta bajbe.	en-US	
10m	10 Minit pore Nk dei. !	en-US	
11	11 ta bajbe.	en-US	
12	12 ta bajbe.	en-US	
15m	15m433ln4h1d@gmail.com	en-US	
1g	1 ghonta pore Nk dei. !	en-US	
1st	Tumi amar prothom chinta sokale	en-US	
2	2 ta bajbe.	en-US	
20m	20 Minit pore Nk dei. !	en-US	
3	3 ta bajbe.	en-US	
30m	30 Minit pore Nk dei. !	en-US	
8	8 ta bajbe.	en-US	
9	9 ta bajbe.	en-US	
a	Acho.? Pacchina tmk. 🙄	en-US	
Aaj	Aj amar mon tomar kothay beshi lage।	en-US	
abarjog	Abaro dekha hobe inshaAllah, bhalo thakben	en-US	
age	sobar age khabar, tarpor prem	en-US	
al	Alhamdulillah. 	en-US	
alh	Alhamdulillah. Vhalo.	en-US	
all	Allah Hafez	en-US	
aloasha	Tumar shathe achi, alo asa amar kachhe ache 🌞	en-US	
Amiomone	ha, ami o eta mone kori	en-US	
angry	ami ekdom rag kore felsi. 😠	en-US	
antyalo	Apni amader poribarer alo o shanti 🌸	en-US	
antymohona	Anty, apnar mohona shanti diye jai amar mon 🌿	en-US	
antyrakkha	Apni amar rakkha, amar moner bishwas 🛡️	en-US	
antysneho	Anty, apnar sneho amar moner shundorota 🌹	en-US	
antyvalobashi	Anty, ami apnake valobashi, chirodin pashe thakbo 🤗	en-US	
apneki	apne ki koren.?	en-US	
apnekmn	apne kemon achen.?	en-US	
apnevhlo	Asha kori apni valo achen	en-US	
apnrki	Apnar Ki Obostha.??	en-US	
arjoyna	Ar jodi kothao joy na pai, tobuo tomar kache harte raji 💫	en-US	
as	Assalamu Alaikum..	en-US	
asl	Azaan Sunnati Lebus	en-US	
aso1	Ajke ektu beshi mone porcho... ektu boshona kachhe 📍	en-US	
asol	asol kotha bolte	en-US	
astag	Astaghfirullah	en-US	
astasi	ami rastay asi, aschi	en-US	
asv	Assalamu Alaikum Vhaijan! 👳‍♀️	en-US	
atm	amar mone hocche...	en-US	
aud	Audio Call 🤙 Daw	en-US	
ayan	Ayaner ki khobor.?	en-US	
ayat	Ayater ki khbor.?	en-US	
b	Boisa Asi..	en-US	
ba	basay achi.. 	en-US	
baa	basay achi.. tmi.?	en-US	
back	abar fire esechi!	en-US	
bas	basay jaitasi	en-US	
basa	basay aslam.	en-US	
basaa	basay aslam. matroi.	en-US	
bb	Boisa Asi.  tmi.??	en-US	
bby	ami tomake chhara kichu bhabi na	en-US	
beshi	Amar beshi bhalobasha kichu beshi chawa noy, shudhu tomake chai 🔥	en-US	
besideyou	Ami ekhon o tomar pashe achi... ar thakboo, joto din tumi chao 🫂	en-US	
bh	Tomake peyechi tai bhalo achhi = 💑✨☺️	en-US	
bhabibondhu	Bhabi, tumi amar bondhu, shundor shondhya amar jonno 🌅	en-US	
bhabipothik	Bhabi, tumi amader poribarer alo o pothik 🌟	en-US	
bhabishanti	Bhabi, tomar shanti amar moner aarambho 🕊️	en-US	
bhabisneho	Tomar sneho amar moner shokti 🌹	en-US	
bhabivalo	Bhabi, ami tomake bhalobashi, shobshomoy tomar kachhe achi 🤗	en-US	
bhaibondhu	Vai, tumi amar bondhu, amar shokti o shanti 🌟	en-US	
bhairokkha	Tumi amar rokkha, jekhane ami nirapod 🌈	en-US	
bhaitumi	Vai, tomar shonge kotha bole mon bhore jai ❤️	en-US	
bhaivalobashi	Vai, ami tomake valobashi, chirodin ekshathe thakbo 🤗	en-US	
bhaiya	Amar shobcheye boro vai, tomar shathe ami shobshomoy achi 💪	en-US	
bhaloachhi	Ami bhalo achhi, tomar khobor dao na!	en-US	
bhalobasa	Bhalobasa hocche shobcheye boro upohar, ami tomake dilam।	en-US	
bhalobashi1	Jodi puro duniyao tomar biruddhe hoy, ami thakbo tomar pokkhe... bhalobashi 💌	en-US	
bhalolage	Ami tomar kachhe thakle nijeke bhalo lage 🌸	en-US	
bhangboena	Joto druto bhangche shob kichu... amader bhalobasha bhangbena, karon eta boro kichur upor daray ❤️	en-US	
bhoykorona	Bhoy peyo na, tomar ekta notun diner aghe ami tomar pashe achi 🙌	en-US	
bhulejao	Ami bhule jao, aro bhalo hote chai tomari jonno 🤞	en-US	
biswashi	Ami tomar upor biswashi rakhbo, jibon sudhure jabe 💫	en-US	
bol	Kotha bolte icche kortese = ☎️💬🥹	en-US	
bondhutaher	Bon, tumi amar bondhutaher alor moto 🌞	en-US	
boneralo	Bon, tomar alo amar jiboner shundorota 🌸	en-US	
bonkotha	Bon, tomar kotha shune shanto hoy amar mon 💖	en-US	
bonrakhha	Tumi amar rakhha, amar moner chhaya 🌿	en-US	
bonvalobashi	Bon, ami tomake valobashi, shobshomoy tomar pashe 🥰	en-US	
brb	ekhon aschi, akto wait koro	en-US	
brk	Breakfast korla jaan? = 🍞☕❤️	en-US	
bro	Bro, kemon aso?	en-US	
btw	ekta jinis bole rakhii	en-US	
bu	Bujcho to?	en-US	
buj	Bujhte parchhi	en-US	
bujhte	Hoyto bujhina somoy moto... but ami prochondo care kori tomar proti 🧠❤️	en-US	
busy	akhon busy, pore kotha bolbo	en-US	
busy1	Busy holeo ekbar message diye dio, mon ta chinta kore 🕰️	en-US	
busypore	ekhon akto busy, pore dekhi	en-US	
bye	biday, pore dekha hobe	en-US	
call	Call Daw..	en-US	
callb	Call back dite paro?	en-US	
callk	Tomake call kortesi	en-US	
callm	Call miss hoyeche	en-US	
